	Education	Marital_Status	Income	Recency	Complain	Response	Age	Kids	MntTotal	NumTotal	TotalAccepted	AvgWeb	YearsACustomer	Frequency
0	0	1	58138.0	58	0	1	66	0	1617	25	0	1.14	11	25
1	0	1	46344.0	38	0	0	69	2	27	6	0	0.2	9	6
2	0	0	71613.0	26	0	0	58	0	776	21	0	2.0	10	21
3	0	0	26646.0	26	0	0	39	1	53	8	0	0.33	9	8
4	0	0	58293.0	94	0	0	42	1	422	19	0	1.0	9	19
5	0	0	62513.0	16	0	0	56	1	716	22	0	1.0	10	22
6	0	1	55635.0	34	0	0	52	1	590	21	0	1.17	11	21
7	0	0	33454.0	32	0	0	38	1	169	10	0	0.5	10	10
8	0	0	30351.0	19	0	1	49	1	46	6	0	0.33	10	6
9	0	0	5648.0	68	0	0	73	2	49	2	1	0.05	9	2
10	0	0	51381.5	11	0	0	40	1	19	4	0	0.14	10	4
11	1	0	7500.0	59	0	0	47	0	61	6	0	0.25	11	6
12	0	1	63033.0	82	0	0	64	0	1102	16	0	1.5	10	16
13	0	1	59354.0	53	0	0	71	2	310	15	0	1.0	10	15
14	0	0	17323.0	38	0	0	36	0	46	5	0	0.12	11	5
15	0	1	82800.0	23	0	1	77	0	1315	26	2	2.33	11	26
16	0	0	41850.0	51	0	0	43	2	96	9	0	0.38	11	9
17	0	0	37760.0	20	0	0	77	0	317	13	0	0.57	11	13
18	0	0	76995.0	91	0	0	74	1	1782	26	1	2.2	10	26
19	0	1	33812.0	86	0	0	38	1	133	8	0	0.33	11	8
20	0	0	37040.0	41	0	0	41	0	316	12	0	0.5	11	12
21	0	0	2447.0	42	0	0	44	1	1730	43	0	0.0	10	43
22	0	0	58607.0	63	0	0	74	1	972	17	1	0.25	11	17
23	0	0	65324.0	0	0	0	69	1	544	20	0	1.5	9	20
24	0	0	40689.0	69	0	0	72	1	444	20	0	0.88	10	20
25	0	1	18589.0	89	0	0	54	0	75	8	0	0.29	10	8
26	0	0	53359.0	4	0	0	47	2	257	14	0	0.71	10	14
27	0	1	51381.5	19	0	0	37	1	637	27	0	27.0	10	27
28	0	0	38360.0	26	0	0	34	1	131	9	0	0.67	10	9
29	0	0	84618.0	96	0	0	58	0	1672	26	1	3.0	10	26
30	0	1	10979.0	34	0	0	34	0	30	8	0	0.6	9	8
31	0	0	38620.0	56	0	0	60	0	318	11	0	0.67	10	11
32	0	0	40548.0	31	0	0	53	1	120	9	1	0.4	11	9
33	0	1	46610.0	8	0	1	71	2	302	17	0	0.67	11	17
34	0	0	68657.0	4	0	0	77	0	1196	18	0	0.43	10	18
35	0	1	49389.0	55	0	0	72	2	65	6	0	0.29	10	6
36	0	0	67353.0	37	0	0	53	1	913	28	0	2.5	10	28
37	0	0	23718.0	76	0	0	47	1	81	9	0	0.43	10	9
38	0	1	42429.0	99	0	0	50	1	67	7	0	0.2	9	7
39	0	1	48948.0	53	0	1	80	0	902	24	1	1.17	10	24
40	0	0	80011.0	3	0	0	43	1	1395	21	0	2.0	10	21
41	0	0	20559.0	88	0	0	38	1	53	7	0	0.25	10	7
42	0	0	21994.0	4	0	0	66	1	22	4	0	0.0	11	4
43	0	1	51381.5	80	0	0	64	0	186	9	0	0.5	10	9
44	0	0	7500.0	19	0	0	48	1	31	8	0	0.4	10	8
45	0	1	79941.0	72	0	0	47	0	984	16	0	2.0	9	16
46	0	0	7500.0	24	0	1	27	0	122	10	0	0.33	11	10
47	0	0	41728.0	92	0	0	55	1	55	5	0	0.2	10	5
48	0	1	51381.5	96	0	0	72	3	124	10	0	0.33	9	10
49	0	0	72550.0	39	0	0	69	2	1319	28	0	0.62	11	28
